name,city,district,address,location,price,description,fid
润园四季椰子鸡(安徽大厦店),深圳市,福田区,广东省深圳市福田区润园四季椰子鸡,"114.065075,22.531749",¥118,"原味椰子鸡                                ,
竹荪                                ,
竹笙椰子鸡                                ,
腊味煲饭                                ,
珍珠马蹄                                ,
超级腊味饭                                ,
炸腐竹                                ,
墨鱼丸                                ,
鸡肉                                ,
泰国天然椰青",23
大树脚云南菜,深圳市,福田区,广东省深圳市福田区云南菜,"114.096772,22.537340",¥80,"大救驾                                ,
小锅米线                                ,
老奶洋芋                                ,
哈尼烤鱼                                ,
云南小南瓜                                ,
薄荷叶牛肉片                                ,
花椒鸡                                ,
手撕鸡                                ,
草捆鱼                                ,
过桥米线",24
外婆家(皇庭广场店),深圳市,福田区,广东省深圳市福田区皇庭广场店,"114.060472,22.533278",¥59,"茶香鸡                                ,
外婆红烧肉                                ,
外婆小牛肉                                ,
西湖藕韵                                ,
剁椒脑花豆腐                                ,
外婆烤肉                                ,
想吃花菜                                ,
三杯鸡                                ,
糖醋里脊                                ,
酸菜鱼",25
海底捞火锅(龙岗星河时代店),深圳市,龙岗区,广东省深圳市龙岗区海底捞火锅,"114.228534,22.691155",¥131,"捞派滑牛肉                                ,
血旺                                ,
番茄锅底                                ,
招牌虾滑                                ,
捞派鸭肠                                ,
捞派澳洲肥牛                                ,
捞派毛肚                                ,
捞派黄喉                                ,
牛油麻辣锅底                                ,
酸梅汁",26
东海朗廷酒店秀•Silk自助餐厅,深圳市,福田区,广东省深圳市福田区东海朗廷酒店,"114.019853,22.536335",¥326,"海鲜                                ,
波士顿龙虾汤                                ,
生冷海鲜                                ,
水果                                ,
安格斯牛排                                ,
波士顿龙虾                                ,
巧克力喷泉                                ,
烤肉                                ,
冰淇淋                                ,
西冷牛排                                ,
三文鱼刺身                                ,
巧克力蛋糕                                ,
风干火腿                                ,
马卡龙",27
海底捞火锅(汉京大厦店),深圳市,南山区,广东省深圳市南山区海底捞火锅,"113.924141,22.511653",¥130,"捞派滑牛肉                                ,
猪脑花                                ,
扯面                                ,
番茄锅底                                ,
招牌虾滑                                ,
捞派鸭肠                                ,
捞派澳洲肥牛                                ,
捞派毛肚                                ,
鸳鸯锅                                ,
小酥肉",28
春满园(圣廷苑店),深圳市,福田区,广东省深圳市福田区春满园,"114.025034,22.535131",¥149,"流沙包                                ,
烤乳鸽                                ,
片皮鸭                                ,
早茶                                ,
飘香榴莲酥                                ,
铁板烧牛仔骨                                ,
xo酱蒸凤爪                                ,
xo酱陈村粉                                ,
XO酱萝卜糕                                ,
原只鲜虾饺",29
华神龙火锅(大芬店),深圳市,龙岗区,广东省深圳市龙岗区华神龙火锅,"114.139513,22.614056",¥118,"跳水虾滑                                ,
极品肥牛                                ,
鲜牛黄喉                                ,
雪花牛肉                                ,
现炸小酥肉                                ,
黑毛肚                                ,
手切鲜牛肉                                ,
鲜脑花                                ,
脆鲩鱼                                ,
炸腐竹",30
香蜜轩(世界之窗店),深圳市,南山区,广东省深圳市南山区香蜜轩,"113.972896,22.536333",¥158,"乳鸽                                ,
海胆炒饭                                ,
辣酒浸花螺                                ,
野米煮淮山                                ,
肉苁蓉炖天子兰                                ,
陈醋白木耳                                ,
日式牛肋骨                                ,
粥油鸭嘴鱼                                ,
脆皮乳鸽                                ,
九节虾                                ,
锅贴饺                                ,
脆皮牛腩                                ,
双色蒸鸭嘴鱼                                ,
冬季养生汤                                ,
金银蒜蒸胜瓜                                ,
妙龄乳鸽                                ,
冬茸酥                                ,
咖喱银鳕鱼                                ,
霸王基围虾                                ,
侨名牛肋骨                                ,
夏季养生汤                                ,
美国野米煮淮山",31
鼎泰丰(万象城店),深圳市,罗湖区,广东省深圳市罗湖区鼎泰丰,"114.111222,22.540369",¥154,"汤包                                ,
上海熏鱼                                ,
鲜虾烧卖                                ,
烤麸                                ,
炸排骨                                ,
特色蟹粉小笼包                                ,
荔芋小笼包                                ,
抄手                                ,
红烧牛肉面                                ,
酸辣汤",32
